"No","Nama Perusahaan","Merek Dagang","Kota","Alamat","Telepon/WA","Email","Website","Jenis","Link HIMPUH","Status Follow-up","Catatan"
"135","PT. Mutiara Qonita Wisata","Qonita Wisata","Tangerang","Perkantoran Mall WTC Matahari No.5825. Jl. Raya Serpong, Serpong Utara, Tangerang Selatan, Banten, 15326","+62215385331","mutiara_qw@yahoo.co.id, qonitawisata.mutiara@gmail.com","www.qonitawisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/249","Belum dihubungi",""
"136","PT. Tunas Armindo Wisata","Armindo Wisata","Jakarta","Sentra Timur Commercial Park 7 No. 7 Pulogadung, Jatinegara, Jakarta Timur, DKI Jakarta, 13350","+6202122859731","jkt.tunasarmindowisata@yahoo.co.id, tunas.wisata1@gmail.com","-","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/250","Belum dihubungi",""
"137","PT. Al Marhamah Cahaya Utama","Almarhamah","Jakarta","Mt. Haryono Square Office 01/09, Jl. Otista Raya No. 390, Jatinegara, Jakarta Timur, DKI Jakarta, 13330","+622129067285","al_marhamah13@yahoo.com","-","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/252","Belum dihubungi",""
"138","PT. Lazuardi Titian Wisata","Lazuardi Umrah & Hajj","Jakarta","Jl. Condet Raya No. 9a, Kramat Jati, Jakarta Timur, DKI Jakarta, 13530","+6281199777999","ptlazuardititianwisata@gmail.com","www.lazuardi-travel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/253","Belum dihubungi",""
"139","PT. Selaras Citanusa Wisata","SELARAS WISATA","Jakarta","Jl. Ciputat Raya No. 100A, , Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12240","+622129236202","info@selaraswisata.com","-","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/255","Belum dihubungi",""
"140","PT. Gesya Prima Biro Perjalanan Umum","PT. Gesya Tour & Travel","Jakarta","Jl. Cipinang Muara Raya No. 42a, Jatinegara, Jakarta Timur, DKI Jakarta, 13420","+622122832032","gesya_travel@yahoo.com","www.gesyatravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/256","Belum dihubungi",""
"141","PT. Al Jazirah Indonesia","JAZIRAH","Bekasi","Jl. Bintara Raya No. 1B, Babelan, Bekasi, Jawa Barat, 17134","+62218352590","eks.anggota.himpuh@gmail.com","www.aljazirah.co.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/259","Belum dihubungi",""
"142","PT. Sahabat Mulia Utama","SAHABAT MULIA TOUR","Jakarta","Gedung Dewan Dakwah Lt. 4 Jl. Panjang 12 Arteri Kelapa Dua,, Kebon Jeruk, Jakarta Barat, DKI Jakarta, 11530","+6221532709","sahabatmulia@hotmail.com","www.sahabatmuliatour.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/262","Belum dihubungi",""
"143","PT. Assami Ananda Tour","ANANDA TOUR","Jakarta","Jl. Raya Condet No. 2c Rt.005/003, Kramat Jati, Jakarta Timur, DKI Jakarta, 13530","+622129840409","infoumroh@anandatour.co.id, assami@anandatour.co.id","www.anandatour.co.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/263","Belum dihubungi",""
"144","PT. Rihlahtul Hidayah Wisata","RIHLAH TOUR & TRAVEL","Jakarta","RUKAN MEDICAL D6. JL RAYA PONDOK KELAPA RT.1 RW.1 , Duren Sawit, Jakarta Timur, DKI Jakarta, 13450","+622122847535","rh.tourwisata@gmail.com","https://rihlahtulhidayahwisata.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/266","Belum dihubungi",""
"145","PT. Sofyan Wisata Ihsani","S.W..I TRAVEL MANAGEMENT","Jakarta","Cityloft Office Apartement Floor 9 Suite 907 Jl. K.H. Mas Mansyur No.121 RT13/RW11, Tanah Abang, Jakarta Pusat, DKI Jakarta, 10220","+622131907613","sofyan.wisata@yahoo.com, umrah@swi.co.id, sofyan.wisata@swi.co.id","www.switravel.co.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/270","Belum dihubungi",""
"146","PT. Wisata Titiannusantara Pelangi","AL MALIK UMRAH & HAJI KHUSUS","Tangerang","Jl.Veteran Raya Blok D.13 No.19, Tangerang, Tangerang, Banten, 15540","+622155789098","supriyadi.margono@almaliktravel.com, arkan.fadhil@almaliktravel.com","www.almaliktravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/273","Belum dihubungi",""
"147","PT. Al Shafwah Wisata Mandiri","Smarts Umrah","Jakarta","Jl. Tanah Abang II NO.93 , RT.001 RW.001, Gambir, Jakarta Pusat, DKI Jakarta, 10150","+62213511414","info@smartsumrah.com","www.smartsumrah.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/275","Belum dihubungi",""
"148","PT. Garislurus Lintas Semesta","Garislurus","Bekasi","Jl. Cermai Raya No. 227 Kayuringin Bekasi Selatan, Babelan, Bekasi, Jawa Barat, 17144","+622188961716","eks.anggota.himpuh@gmail.com","www.garislurus.com","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/280","Belum dihubungi",""
"149","PT. Khairo Mulya Wisata","KHAIRO MULYA WISATA","Tangerang","Tangerang City Business Park Blok B 29, Jl. Jenderal Sudirman No. 1, Tangerang, Tangerang, Banten, 15117","+622155780029","eks.anggota.himpuh@gmail.com","www.khairotour.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/281","Belum dihubungi",""
"150","PT. Metro Inter Travindo","Padi Umroh","Tangerang","Jl. Kihajar Dewantara Ruko Golden 8 No. 8 Pakulonan Barat, Kelapa Dua, Kelapa Dua, Tangerang, Banten, 15810","+622129238848","info@padi-umroh.com","www.padi-umroh.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/282","Belum dihubungi",""
"151","PT. Rizquna Hikmah Sejahtera","RIZQUNA TOUR & TRAVEL","Jakarta","Plaza Karinda Lt.2 Jl. Karang Tengah Raya Blok. B1 No. 19, Cilandak, Jakarta Selatan, DKI Jakarta, 12440","+622127824756","rizqunainfo@gmail.com","www.rizquna.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/283","Belum dihubungi",""
"152","PT. Siddiq Amanah Wisata","SIDDIQ AMANAH WISATA","Jakarta","Jl. Rawajati Timur Raya Blok. AM-11, Kalibata Indah, Pancoran, Jakarta Selatan, DKI Jakarta, 12750","+62217900459","eks.anggota.himpuh@gmail.com","www.siddiqamanahwisata.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/284","Belum dihubungi",""
"153","PT. Amara Tours & Travel","Amara Tours","Bekasi","Jl. Raya Kincan Jati Bening II No. 38, Pondok Gede, Bekasi, Jawa Barat, 17412","+622170295391","amaraumrohtours@yahoo.com, amaratourstravel05@gmail.com, amaraumrohhajji@gmail.com","","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/287","Belum dihubungi",""
"154","PT. Medina Mitra Wisata","MEDINA WISATA","Jakarta","Ruko Cibubur Indah Blok. F3 Jl. Raya Lapangan Tembak, Ciracas, Jakarta Timur, DKI Jakarta, 13720","+622122821628","medinawisata@yahoo.com, medinamitrawisata@gmail.com","www.medinahwisata.ID","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/290","Belum dihubungi",""
"155","PT. Bumi Nata Wisata","NATA TOURS","Jakarta","Jl. Warungjati Timur Raya No.9B Kalibata, Pancoran, Jakarta Selatan, DKI Jakarta, 12740","+62361229873","eks.anggota.himpuh@gmail.com","https://www.buminatawisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/291","Belum dihubungi",""
"156","PT. Reza Makmur Wisata Lestari","Rema Tour","Jakarta","Jl. Raya Pondok Gede No. 23 D, , Cipayung, Jakarta Timur, DKI Jakarta, 13810","+622129835444","eks.anggota.himpuh@gmail.com","www.rematour.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/292","Belum dihubungi",""
"157","PT. Musafir Lintas Sahara","MUSAFIR TOUR","Bekasi","Jl. Raya Hankam No 59 Rt.04/02, Jati Sampurna, Bekasi, Jawa Barat, 17432","+622128674647","eks.anggota.himpuh@gmail.com","-","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/295","Belum dihubungi",""
"158","PT. Riska Harry Tour & Travel","RH TOUR","Bekasi","Ruko Sentra Niaga Kalimalang Blok. A No. 11 Jl. Jend. Ahmad Yani, Babelan, Bekasi, Jawa Barat, 17144","+622129257655","rh.tour@yahoo.com, contact@rhtour.co.id","www.rhtour-online.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/296","Belum dihubungi",""
"159","PT. Granada Wisata","Granada Tour","Tangerang","Ruko Bukit Serpong Mas Blok A3 No.7 , Serpong Utara, Tangerang Selatan, Banten, 15417","+622153128299","granadawisata@gmail.com, diazsyah@gmail.com, halo@granadatour.id","www.granadatour.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/298","Belum dihubungi",""
"160","PT. Tazakka Ceria Wisata","TAZAKKA TOUR","Bekasi","Graha Yus Join Mahir, Jl. KH. Noer Ali No. 25-26, Bekasi Selatan, Bekasi, Jawa Barat, 17148","+622188968344","eks.anggota.himpuh@gmail.com","www.tazakkatour.com","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/299","Belum dihubungi",""
"161","PT. Darul Manasek Internasional","DARUL MANASEK INTERNASIONAL","Jakarta","Ruko Ptc Blok. H8 No. 6 Pulogadung Trade Centre, Jl. Raya Bekasi Km.21, Pulo Gadung, Jakarta Timur, DKI Jakarta, 0","+622146800215","info@damaitour.co.id","-","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/300","Belum dihubungi",""
"162","PT. Dava Tour & Travel","ABHINAYA UMROH","Jakarta","Jl. Minang Kabau No. 29, Setia Budi, Jakarta Selatan, DKI Jakarta, 12970","+62218304337","davatour-travel@abinayatour.com, pandu.apriyanto@abhinayatour.com","www.abhinayatour.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/301","Belum dihubungi",""
"163","PT. Malika Wisata Utama","MALIKA TOUR","Tangerang","Graha Malika Lt. 2 Jl. Perintis Kemerdekaan No. 1 Babakan Ciamis Tangerang, Balaraja, Tangerang, Banten, 15117","+6202155733001","umrohmalika@gmail.com","www.malikagroup.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/302","Belum dihubungi",""
"164","PT. Yasdin Travel","Madanina","Jakarta","Bali Maisonette - Legian 6, Jl. RS. Fatmawati Raya No.7, RT.2/RW.1, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Cilandak, Jakarta Selatan, DKI Jakarta, 12420","+6281112002724","madaninatour@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/305","Belum dihubungi",""
"165","PT. Dhiyaa El Haramain El Mubarakah","ELHARAMAIN WISATA","Bekasi","Ruko Grand Boulevard Asia Tropis Blok AT12 No.02 Harapan Indah, Tarumajaya, Bekasi, Jawa Barat, 17143","+622188382764","el.haramaintour@gmail.com, elharamainumrah@gmail.com, dhiyaa.haramain@gmail.com","https://elharamainwisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/306","Belum dihubungi",""
"166","PT. Hasni Multi Bussines Tour & Travel","HM Travel","Jakarta","Jl. Dr. Saharjo No. 96e, Setia Budi, Jakarta Selatan, DKI Jakarta, 12960","+62218301772","hmtravelm@gmail.com, mtravelm@yahoo.com","https://hasnitravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/310","Belum dihubungi",""
"167","PT. Daehatur Ekspres","Daeha Official Umroh & Haji Khusus","Jakarta","Apartemen Cervino Village GF Unit J, Jl. Kh. Abdullah Syafei Kav 27, Tebet, Jakarta Selatan, DKI Jakarta, 12810","+6282240003433","daehatur@gmail.com, daehatur.visa@gmail.com, iqbal.daehatur@gmail.com","www.daehaturhajiumroh.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/312","Belum dihubungi",""
"168","PT. Fatahillah Tour Mandiri","FATA TOUR","Bekasi","Sinpasa Commercial Blok. C No. 6 Margamulya Bekasi Utara, Bekasi Utara, Bekasi, Jawa Barat, 17142","+622129572288","fatatour.umroh@gmail.com, infofata@fatatour.com, mariko.bawi@fatatour.com","www.fatatourtravel.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/314","Belum dihubungi",""
"169","PT. Yassinta Andromeda Kencana","Yassinta Haji Umrah","Jakarta","JL.RAYA LAPANGAN TEMBAK NO.1 PEKAYON ,PASAR REBO - JAKARTA TIMUR, Pasar Rebo, Jakarta Timur, DKI Jakarta, 13710","+622187734272","info.yassintahajiumrah@gmail.com","www.yassintahajiumrah.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/315","Belum dihubungi",""
"170","PT. Nurul Zahra","NURA","Jakarta","Jl. Condet Raya No. 31, Kramat Jati, Jakarta Timur, DKI Jakarta, 13640","+622180887453","eks.anggota.himpuh@gmail.com","-","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/317","Belum dihubungi",""
"171","PT. Mitra Mediatama Sejahtera","Mediatama","Jakarta","Jl. Gardu No. 32, Kramat Jati, Jakarta Timur, DKI Jakarta, 13530","+622180878448","info@mediatamatours.com","www.mediatamatours.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/318","Belum dihubungi",""
"172","PT. Mabrur Tour & Travel","MABRUR TRAVEL","Jakarta","Jl. Percetakan Negara Raya No. D49 Rt:10/09, Johar Baru, Jakarta Pusat, DKI Jakarta, 10560","+622142877599","mabrurtour@yahoo.com","www.mabrur.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/319","Belum dihubungi",""
"173","PT. Nabila Surabaya Perdana","NASATUR","Jakarta","Jl. Kampung Melayu Besar No. 44, Tebet, Jakarta Selatan, DKI Jakarta, 12840","+62218353689","nasa_tour@hotmail.com, manifest_nasatour@hotmail.com","www.nasatur.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/320","Belum dihubungi",""
"174","PT. An Cipta Wisata","AN CIPTA WISATA","Jakarta","Ruko Grand Centro Bintaro, No. A12, Jl. Kodam Bintaro, Pesanggrahan, Jakarta Selatan, Pesanggrahan, Jakarta Selatan, DKI Jakarta, 12320","+622122733195","info@anciptawisata.com, emilpanji@anciptawisata.com","wwww.umroh.anciptawisata.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/321","Belum dihubungi",""
"175","PT. Kalam Imran Farok","KIF Tours","Jakarta","Jl. Rs. Fatmawati No. 201 D, Cilandak Cilandak Barat, Cilandak, Jakarta Selatan, DKI Jakarta, 12430","+622175916767","kif.tour@yahoo.co.id, info@kiftourtravel.com","www.kiftourtravel.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/322","Belum dihubungi",""
"176","PT. Risalah Rizkia Wisata","Risalah Tour & Travel","Jakarta","Jl. Raya Bogor KM. 26 No. 10 Rt. 011 Rw. 004, Ciracas, Jakarta Timur, DKI Jakarta, 13740","+622187702273","risalahtourtravel@gmail.com","www.risalahtour.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/326","Belum dihubungi",""
"177","PT. Mahkota Bumi Barokah","Mahkota Kubah Emas Tour & Travel","Tangerang","Ruko Dian Plaza, Jl. Raden Fatah, Ciledug, Tangerang, Banten, 15151","+62217964560","masjidkubahemas@yahoo.com, mahkotakubahemas@gmail.com","www.mahkotakubahemas.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/327","Belum dihubungi",""
"178","PT. Karsa Pelita Wisata","BIRO PERJALAN UMROH","Jakarta","Jl. Radio Dalam Raya No.4 RT.001/RW.015, Gandaria Utara, Kec. Kebayoran Baru, Jakarta Selatan, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12140","+62217697376","staff.pelitawisata@gmail.com, stafpelitawisata1@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/328","Belum dihubungi",""
"179","PT. Gemilang Multazam Mitra Sakti Wisata","Gemilang Wisata","Jakarta","Prince Center Building 5th Flor 505, Jl. Jenderal Sudirman Kav. 3-4, Tanah Abang, Jakarta Pusat, DKI Jakarta, 10220","+62215700407","eks.anggota.himpuh@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/329","Belum dihubungi",""
"180","PT. Zahida Nufus Indonesia","ZAHIDA TOUR & TRAVEL","Depok","Komplek Ruko The Saladin Square Blok. B No. 18, Jl. Raya Margonda, Pancoran Mas, Depok, Jawa Barat, 16431","+622129402242","zahidanufus.indonesia@yahoo.com, zahidanufus@gmail.com","www.zahidatourtravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/332","Belum dihubungi",""
"181","PT. Matias Jaya Abadi","Abadi Tour & Travel","Jakarta","Signature Park Apartement, K-08 Jl. Mt. Haryono Kav 22, Tebet, Jakarta Selatan, DKI Jakarta, 12810","+622129386428","eks.anggota.himpuh@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/333","Belum dihubungi",""
"182","PT. Matra Tur Antarnusa","MATRA TUR ANTARNUSA","Jakarta","Plaza Basmar, 3rd Floor Jalan Mampang Prapatan Raya No. 106, Pancoran, Jakarta Selatan, DKI Jakarta, 12760","+622122379796","eks.anggota.himpuh@gmail.com","www.matratour.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/337","Belum dihubungi",""
"183","PT. Semesta Bertowaf 99","TAWAF 99","Bogor","Pertokoan Multazam Nomor 11 Jalan Raya Pondok Rajeg, Cibinong, Bogor, Jawa Barat, -","+622183729288","99toursandtravel@gmail.com","www.99toursandtravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/338","Belum dihubungi",""
"184","PT. BPW Rezki International Indonesia","Simply Travel","Tangerang","Jl. Lingkar Palem Semi Ruko CBD Palem Semi No. 11, Balaraja, Tangerang, Banten, 15139","+622155726555","eks.anggota.himpuh@gmail.com","www.simply-travel.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/339","Belum dihubungi",""
"185","PT. Nurani Insan Azkia","Azkia Tours","Tangerang","Plaza Kertamukti Blok. G, Jl. Kertamukti No. 1, Ciputat Timur, Tangerang Selatan, Banten, 15419","+622174705028","azkiatours@gmail.com, marketing@azkiatours.com","www.azkiatours.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/342","Belum dihubungi",""
"186","PT. Amanah Bersama Tour & Travel","AB TOUR","Bekasi","Jl. Raya Pabuaran No. 19-a Rt.03 Rw.03, Jati Sampurna, Bekasi, Jawa Barat, 17432","+622122323590","abtour.stb@gmail.com","www.travelumrohab.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/343","Belum dihubungi",""
"187","PT. Arhas Bugis Tours & Travel","ARHAS TRAVEL","Jakarta","JL. .LINGKAR LUAR-KAMAL RAYA, MALL TAMAN PALEM, RUKO NO. 26, Cengkareng, Jakarta Barat, DKI Jakarta, 11730","+622129405264","arhastours@gmail.com","www.arhastravel.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/345","Belum dihubungi",""
"188","PT. Lintas Jaya Optima","LINTAS JAYA OPTIMA","Depok","Jl. Perumnas Gg. Kapuas No. B-18 Condongsari, Condongcatur, Depok, Sleman, DI Yogyakarta, 0","+62274486591","lintasjayaoptima.umra@gmail.com, hanafy.lintasjayaoptima@gmail.com","www.lintasjayaoptima.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/347","Belum dihubungi",""
"189","PT. Zamzam Putra Mandiri Wisata","ZAMZAM WISATA","Jakarta","Rukan Cordoba Jl. Marina Raya Pantai Indah Kapuk Blok H No. 62 Rt/001 Rw/006, Kelapa Gading, Jakarta Utara, DKI Jakarta, 0","+622156983666","care@zamzamwisata.com, info@zamzamwisata.id","zamzamwisata.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/350","Belum dihubungi",""
"190","PT. Lintas Agung Wisata","LINTAS AGUNG WISATA","Jakarta","Jl. Raden Saleh No. 16, Cikini, Senen, Senen, Jakarta Pusat, DKI Jakarta","+62213104112","lintas.group@yahoo.com, officelintasjakarta@gmail.com","www.lintasdarfiq.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/351","Belum dihubungi",""
"191","PT. Iman Arafah Travel","IMAN ARAFAH TRAVEL (IAT)","Jakarta","Business Park Kebon Jeruk Blok.B No.10 Jl. Meruya Ilir Kav.88, Kembangan, Jakarta Barat, DKI Jakarta, 11620","+622130067807","iman.arafahtravel@gmail.com","-","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/352","Belum dihubungi",""
"192","PT. As Syifa Prima Jannah","ASY SYIFA","Jakarta","Jl. RM. Hartsono No. 73, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12550","+62217820910","asysyifatour@gmail.com","www.asysyifajannah.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/357","Belum dihubungi",""
"193","PT. Attin Tur","Attin Tur","Bekasi","Jl. Pondok Gede Raya No.50, Pondok Melati, Bekasi, Jawa Barat, 17141","+622184903680","attinturtravel@gmail.com, chandra.attintur@gmail.com","www.attintur.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/358","Belum dihubungi",""
"194","PT. Bobinsa Surabaya Jaya","Bobinsa Tour","Jakarta","Jl. Basuki Rahmat No. 12, Cipinang Muara, Tebet, Jakarta Selatan, DKI Jakarta, 12840","+62218354546","bobinsa_tour@yahoo.com","-","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/359","Belum dihubungi",""
"195","PT. Elrey Puri Malak","Malak Tour","Jakarta","Jl. MT. Haryono Kav. 22 Signature Park K-01, Tebet, Jakarta Selatan, DKI Jakarta","+622129386842","elreypurimalak@gmail.com, dhikayusmana@gmail.com","www.malaktour.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/360","Belum dihubungi",""
"196","PT. Henira Citra Utama","Henira","Jakarta","Jl. TMP Kalibata Raya No. 01. Kalibata City Square Mall Blok SS/05/01, Pancoran, Jakarta Selatan, DKI Jakarta, 12750","+622129316986","eks.anggota.himpuh@gmail.com","www.heniratours.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/361","Belum dihubungi",""
"197","PT. Inti Ummul Quro","UMMUL QURO","Depok","Jl. KH. M. Usman No. 96, Beji, Depok, Jawa Barat, 16425","+622178890753","pt.intiummulquro@yahoo.co.id, pt.intiummulquro@gmail.com","www.intiummulquro.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/363","Belum dihubungi",""
"198","PT. Khidmat Lambaian Kabah","Labaika Tour and Travel","Jakarta","Jl. Raden Inten 2 No. 4, Duren Sawit, Jakarta Timur, DKI Jakarta, 13440","+622122982698","labaika_umhaj@yahoo.com, labaika.umhaj@gmail.com","www.labaika.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/364","Belum dihubungi",""
"199","PT. Mitra Tour & Travel","Mitra Tour & travel","Jakarta","Gd, Patra Jasa Lt, Dasar & Lt,1, Jl. Jend. Gatot Subroto Kav.32-34 Rt.006/003, Setia Budi, Jakarta Selatan, DKI Jakarta, 12950","+622152900878","mitra@mitratour.com","www.mitratour.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/365","Belum dihubungi",""
"200","PT. Namira.","Namira","Jakarta","Jl. Bukit Duri Tanjakan No.160B, Bukit Duri, Tebet, Tebet, Jakarta Selatan, DKI Jakarta, -","+62817141529","eks.anggota.himpuh@gmail.com","-","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/367","Belum dihubungi",""
"201","PT. Pakuan Jaya Safari","JAS Tour & Travel","Tangerang","Jl. Gerbang Sinai Raya Blok.03/19, Kelapa Dua, Tangerang, Banten, 15810","+622154213737","eks.anggota.himpuh@gmail.com","www.pakuanjaya safari.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/368","Belum dihubungi",""
"202","PT. Syafa Asik Wisata","Syafa Wisata","Jakarta","Jl. Inspeksi Kalimalang No.42, Duren Sawit, Jakarta Timur, DKI Jakarta, 13450","+622186908264","syafatours@gmail.com, ahmadmunasik@gmail.com","www.syafaumroh.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/369","Belum dihubungi",""
"203","PT. Samira Ali Wisata","Samira Travel","Jakarta","Komplek Ruko Buaran Persada, Jl. Jend.Pol Soekanto No.30 Rt.08/06, Duren Sawit, Jakarta Timur, DKI Jakarta, 13440","+622122321854","adminsamira@samiraaliwisata.com, marketing@samiraaliwisata.com, samira.aliwisata76@gmail.com","www.dinigroupindonesia.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/370","Belum dihubungi",""
"204","PT. Wahana Mitra Wisata","WAHANA MITRA WISATA","Jakarta","Jl. Asem Baris Raya No. 126B Tebet, Tebet, Jakarta Selatan, DKI Jakarta, 12830","+6222902219","eks.anggota.himpuh@gmail.com","https://pt-wahana-mitra-wisata.business.site","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/373","Belum dihubungi",""
